Code_INSEE;Tranche_detaillee_unite_urbaine
12213;0
59504;7
50637;0
31165;7
67388;3
26307;1
74010;6
48140;1
25356;1
37260;0
75109;8
59002;7
80799;1
44097;0
38141;0
78185;1
94015;8
86002;0
93031;8
91549;8
48070;0
79280;0
27602;5
16058;4
43268;2
30186;1
92050;8
65417;5
29051;5
01173;3
78646;8
53243;0
10387;6
63214;3
38151;7
23096;3
27638;0
49023;4
77350;8
76069;7
69250;7
21680;0
77251;8
57329;0
33529;5
85191;5
92076;8
74218;5
82124;5
59632;7
28085;5
33318;7
45289;0
75110;8
67105;0
57463;7
68349;4
03251;0
31555;7
95313;8
14701;4
13212;7
51649;3
06088;7
61043;0
14423;nan
42184;5
17197;2
95018;8
89257;3
89471;0
36064;0
77379;3
2A085;0
35125;2
93078;8
59350;7
77382;4
13035;2
27191;0
94002;8
75118;8
83137;7
76681;7
34147;1
28218;5
95277;8
69388;7
44035;7
22135;0
83144;7
25031;6
27502;1
77296;8
75119;8
91103;8
87205;0
50087;0
64122;7
86233;0
82121;5
37082;0
39189;2
16154;6
01072;1
69264;7
87113;6
30302;0
85109;3
62651;0
38529;4
79319;0
09157;1
62038;2
77371;4
77440;0
31381;0
68278;7
11198;0
12089;3
94041;8
38021;nan
14646;0
69150;nan
37165;0
45107;0
91114;8
94067;8
21134;0
07259;0
59292;1
85089;2
87021;1
59656;7
21617;7
54402;0
17211;0
72132;3
85167;3
32062;0
15014;4
22079;0
92019;8
31282;7
33192;7
13213;7
83061;5
78440;8
57529;1
32459;0
25403;0
33243;4
75111;8
16374;6
92012;8
54421;0
13022;2
85208;0
84083;2
76615;7
28055;0
29066;0
88465;5
76366;7
31561;7
59566;7
42204;0
85273;0
13028;7
56260;5
01031;4
76540;7
72003;7
14118;6
75115;8
67194;1
71306;4
66059;5
35152;2
40192;4
94068;8
74119;5
87085;6
48092;2
49333;1
78297;8
63113;7
35331;0
69275;7
21390;7
66069;1
76575;7
13072;7
67371;0
77001;0
71502;0
66136;7
23247;0
93032;8
33550;7
22168;4
50615;2
60293;0
51630;0
33381;7
94055;8
94081;8
82165;0
37021;0
29006;4
73031;6
01050;0
88101;1
22162;3
31410;7
59360;7
26330;0
78490;8
30174;3
53007;1
78624;8
06095;7
27103;1
67482;7
44082;2
26333;2
87125;1
34172;7
32119;1
83090;7
21391;0
13210;7
75113;8
17010;6
62255;0
59589;7
71270;4
03185;5
57288;3
45145;2
38509;4
49212;nan
75107;8
78442;8
94077;8
62825;1
94076;8
31446;7
32280;0
83049;7
01085;0
42207;7
45123;2
73065;6
95218;8
21179;1
19272;4
76312;2
49377;0
49267;7
17094;6
91434;8
37195;7
34301;5
38005;0
83073;3
60175;6
60641;1
07007;0
44109;7
13119;2
71076;5
36044;5
74256;4
36009;0
59361;7
45271;0
93055;8
52269;2
54439;7
03162;0
60057;5
01443;1
56179;1
01424;0
93005;8
58194;5
02810;3
62081;0
45169;7
09075;0
93062;8
