Carrosserie;Code_vehicule;Alimentation;Boite_vitesse;Date_debut_comerc;Date_fin_comerc;Groupe_vehicule;Classe_vehicule;Puissance_vehicule
BERLINE;OP16345;ES;M;9012002;9012002.0;33;J;7.0
AUTRE;RE61166;GO;M;10072006;12092007.0;32;L;7.0
4x4-AUTRES;LR03096;ES;A;22092003;22092003.0;37;V;23.0
BERLINE;RE80242;ES;M;4092012;29012013.0;31;K;6.0
BERLINE;VO14015;ES;M;1993;1993.0;29;I;7.0
BERLINE;SE07070;GO;M;1999;1082003.0;32;J;6.0
FOURGONNETTE;FO07218;GO;M;1986;1988.0;27;E;6.0
4x4-AUTRES;LR07127;GO;M;17062010;1062014.0;32;N;9.0
DIVERS;PE22002;GO;M;1969;1976.0;25;F;5.0
MONOSPACE;BM73430;GO;M;1062017;1022018.0;32;N;6.0
MONOSPACE;VW34017;GO;M;14042003;1012004.0;33;M;8.0
BERLINE;OP34184;GO;A;10012013;4092013.0;36;P;11.0
MONOSPACE;ME55001;ES;M;10032005;4042008.0;30;L;6.0
FOURGONNETTE;RE30097;GO;M;1992;1995.0;28;G;7.0
FOURGONNETTE;FO15081;GO;M;1978;1986.0;30;I;9.0
FOURGONNETTE;CI07043;ES;M;1986;1987.0;29;G;8.0
BERLINE;RE80303;ES;M;5112013;1072015.0;31;J;6.0
COUPE;LX10002;ES;V;6112015;;35;R;9.0
BERLINE;PE14037;ES;M;1980;9999.0;28;A;10.0
MONOSPACE;LA19069;GO;S;1042010;1102010.0;30;K;5.0
CAMIONNETTE;MN02078;ES;M;2072012;1112012.0;32;J;7.0
FOURGONNETTE;PE02001;ES;M;1986;1986.0;29;F;11.0
FOURGONNETTE;RE78096;GO;M;29012013;3062014.0;28;I;5.0
FOURGONNETTE;VW01333;GO;M;7102015;;31;L;7.0
BREAK;VO20018;ES;M;1991;1992.0;34;N;11.0
4x4-SUV;NA13003;GO;M;1991;1993.0;30;N;11.0
BERLINE;VW49740;ES;M;27042017;14032018.0;32;K;6.0
4x4-SUV;SA01016;ES;M;1992;1993.0;26;G;7.0
BERLINE;BM70A17;ES;M;1042018;1102018.0;36;Q;10.0
FOURGONNETTE;FO15301;GO;M;2000;2042002.0;33;M;8.0
BERLINE;BM25147;ES;M;10032004;1092004.0;37;Q;13.0
BERLINE;SK06657;ES;S;1012017;5102017.0;32;K;6.0
CABRIOLET;MN01012;ES;M;5072004;26032009.0;31;K;7.0
FOURGONNETTE;FO15004;ES;M;1987;1991.0;28;H;9.0
MONOSPACE;FO25095;E8;M;3032008;19032013.0;33;N;9.0
BREAK;CI07090;ES;M;1987;1989.0;31;J;9.0
4x4-SUV;MI05070;ES;A;1998;1998.0;34;Q;20.0
BERLINE;VW12243;ES;M;1999;1999.0;29;I;5.0
FOURGONNETTE;RE18045;GO;M;1998;1998.0;31;L;8.0
FOURGONNETTE;RE78147;GO;M;3062013;3062014.0;31;L;5.0
BERLINE;SB04067;GO;M;1999;1999.0;33;N;7.0
BREAK;VW11216;ES;M;1994;1996.0;35;N;14.0
BERLINE;SZ01064;ES;M;6042009;1092010.0;30;H;5.0
4x4-AUTRES;JP03051;ES;A;1092012;1122012.0;42;V;39.0
BERLINE;NA05167;ES;M;1032005;1032005.0;27;F;5.0
FOURGONNETTE;PE04012;GO;M;1991;1991.0;31;J;8.0
4x4-AUTRES;MI05113;ES;M;25082004;7032005.0;29;K;8.0
FOURGONNETTE;FO15217;GO;M;1995;1042000.0;30;L;10.0
LUDOSPACE;RE55003;ES;M;1998;1998.0;28;G;7.0
FOURGONNETTE;RE12055;ES;M;1993;1994.0;28;F;8.0
4x4-SUV;EB05017;GO;M;1989;1989.0;29;L;11.0
CAMIONNETTE;SE02864;ES;M;2072012;30112012.0;29;E;7.0
4x4-SUV;AO01018;GO;M;1998;1998.0;27;H;7.0
PICK-UP;FO30008;GO;M;15122005;1062006.0;31;M;10.0
BERLINE;RE07513;GO;M;3092001;1092003.0;28;H;4.0
BERLINE;RE42112;GO;M;1990;1990.0;27;E;4.0
BERLINE;FO21405;GO;M;19052003;6122004.0;31;K;6.0
PICK-UP;VW46010;GO;M;1122010;1012013.0;32;N;7.0
BERLINE;VO27060;ES;A;1092017;10092018.0;39;T;20.0
FOURGONNETTE;SK01044;ES;M;1995;1995.0;27;C;7.0
LUDOSPACE;FI39063;GO;M;2012004;2012004.0;28;H;5.0
CABRIOLET;VW28043;ES;A;1998;1998.0;31;L;9.0
MONOSPACE;ME46034;GO;M;2000;2003.0;32;P;8.0
